source,label_id,category_id,class_name,class_slug,prompt,source_crop,synthetic_path,base_model,controlnet_model,seed
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00081_img249764_ann1188165.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00000.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,42
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00014_img207481_ann1188347.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00001.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,43
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00003_img116466_ann1163542.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00002.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,44
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00035_img304125_ann1188177.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00003.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,45
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00031_img122382_ann2197656.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00004.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,46
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00028_img375483_ann1188307.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00005.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,47
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00017_img302838_ann1188362.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00006.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,48
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00013_img563615_ann1996980.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00007.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,49
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00086_img6578_ann1188457.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00008.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,50
synthetic_controlnet_canny,0,89,hair drier,hair_drier,"a realistic high quality photo of hair drier, centered object, natural lighting, detailed",data/crops/train/hair_drier/train_hair_drier_00069_img512292_ann1675984.jpg,data/synthetic_controlnet/train/hair_drier/synthetic_hair_drier_00009.png,runwayml/stable-diffusion-v1-5,lllyasviel/sd-controlnet-canny,51
