image_id,image_path,error_type,gt_label_id,gt_label,pred_label_id,pred_label,score,iou
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,correct,2.0,chair,2,chair,0.7981601357460022,0.653404712677002
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,correct,2.0,chair,2,chair,0.47513526678085327,0.7840557098388672
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,correct,2.0,chair,2,chair,0.7849938869476318,0.8617464303970337
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,missed_object,2.0,chair,2,chair,0.7383318543434143,0.054339636117219925
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,correct,0.0,person,0,person,0.9775866866111755,0.8562363982200623
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,localization_error,0.0,person,0,person,0.9455455541610718,0.4159519076347351
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,classification_and_localization_error,3.0,book,9,handbag,0.39760515093803406,0.22371806204319
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,classification_and_localization_error,3.0,book,9,handbag,0.39760515093803406,0.20415031909942627
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,localization_error,2.0,chair,2,chair,0.3331032991409302,0.1801886409521103
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,correct,6.0,dining table,6,dining table,0.4953954219818115,0.5147449970245361
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,false_positive,,,0,person,0.5379927158355713,0.007357769645750523
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,false_positive,,,6,dining table,0.5837242007255554,0.0
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,false_positive,,,2,chair,0.35032016038894653,0.11599855124950409
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,false_positive,,,2,chair,0.7148575186729431,0.3770417869091034
139,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000000139.jpg,false_positive,,,2,chair,0.36431458592414856,0.060725774616003036
